title,types,score,drector,writer,actor,account,country,label,flim_version
不可思异,"剧情, 喜剧, 科幻",3.8,孙周 Zhou Sun,"孙周 Zhou Sun, 丁小洋 Xiaoyang Ding","王宝强, 小沈阳, 大鹏, 尹正, 成毅, 辛芷蕾",16304,中国大陆,6.19552,1
七擒七纵七色狼,"剧情, 喜剧",3.8,钟澍佳 Chung Shu Kai,null,"曾志伟, 谷祖琳, 孟瑶, 陈百祥, 林家栋, 张兆辉, 钱嘉乐, 王祖蓝, 林子善, 童爱玲, 梁敏仪, 王天林, 林雪, 余安安, 曾华倩, 关宝慧, 李枫, 王子涵, 贝安琪, 赵彤, 陈文静, 史妍, 冯颂晴, 李雪盈, 谢欣婷, 陆嘉仪, 伍泺文, 郑洁贤, 袁丹, 陈星雯, 魏少婷, 周佩芝, 林掌玲, 陈梦婷, 梁婉微, 单福阳, 区轩玮, 张笑千, 吴剑华, 梁其禧",2425,香港,0.9215,1
赛尔号大电影5：雷神崛起,"剧情, 儿童, 动画, 冒险",3.8,王章俊 Zhangjun Wang,"王章俊 Zhangjun Wang, 邓磊 Lei Deng","罗玉婷, 翟巍, 王晓彤, 孙晔, 吴磊, 蒋可, 刘北辰, 李晔",2380,中国大陆,0.9044,1
我们都是坏孩子,剧情,3.7,张洋 Yang zhang,张洋 Yang zhang,"谢容儿, 杨杏, 夏筠妍, 李艾佳",6423,中国大陆,2.37651,1
谁动了我的梦想,"剧情, 喜剧, 爱情",3.7,"王伟 Wei Wang, 毕国书 Jackson Pat",仧縯 Yan Chang,"立威廉, 张蓝心, 胡兵, 贺彬, 苑琼丹, 罗家英, 郑浩南, 王希瑶, 邱意浓, 张玉洁, 蔡珩",3120,中国大陆,1.1544,1
战·无双,"动作, 剧情",3.7,熊欣欣 Xinxin Xiong,陈咏燊,"蒋璐霞, 李灿森, 张兆辉",2316,"香港, 中国",0.85692,1
囧人之越挠越痒,"剧情, 喜剧",3.7,李华彤 Huatong Li,王靖 Jing Wang,"高捷, 刘畊宏, 周晓鸥, 洪剑涛, 周楚濋, 姜欣雨, 张博, 张少华, 吴超, 王澜, 张溪芸",2086,中国大陆,0.77182,1
蔡李佛,"剧情, 动作",3.6,"黄明升 Ming-Sing Wong, 罗惠德 Tommy Lor Wai-Tak","叶丰进, 万力, 曾春辉","洪金宝, 黄嘉乐, 元华, 洪天照, 小杉健, 王佳音, 刘永健, 杜宇航",3188,"中国大陆, 香港",1.14768,1
非秀不可,"剧情, 爱情",3.6,钱路劼 Lujie Qian,钱路劼 Lujie Qian,"李宛仪, 李亭哲, 佴文, 宫正楠",2056,中国大陆,0.74016,1
李雷和韩梅梅,"剧情, 喜剧, 爱情",3.5,杨永春 Yongchun Yang,"肖李任颐, 杨永春 Yongchun Yang, 陈林 Lin Chen, 骆平 Ping Luo","张子枫, 张逸杰, 成梓宁, 李砚, 常铖, 王旭东, 张诚航, 苗皓钧, 花希, 马泽涵, 应亦涵, 朱子岩, 李扬, 郝平, 王菁华, 塞拉斯·列维·纽豪斯",20291,中国大陆,7.10185,1
杨门女将之军令如山,"剧情, 动作, 古装",3.5,陈勋奇 Frankie Chan,"陈勋奇 Frankie Chan, 柳蘅, 马红路","张柏芝, 任贤齐, 刘晓庆, 郑佩佩, 周海媚, 陈紫函, 金巧巧, 于娜, 大岛由加利, 刘冬, 赵芊羽, 杨紫彤, 肖明玉, 戈春艳",19777,"中国大陆, 香港",6.92195,1
我在路上最爱你,"剧情, 爱情",3.5,金丰起 Poogki Kim,金丰起 Poogki Kim,"黄圣依, 池珍熙, 车秀妍, 文章, 张少华, 翟子陌",10604,"中国大陆, 韩国",3.7114,1
新乌龙院之笑闹江湖,"剧情, 喜剧, 动作",3.5,朱延平 Yen-ping Chu,"张耀升 Yao-sheng Chang, 朱凌锋 Lingfeng Zhu, 牛欣炜 New","王宁, 孔连顺, 王智, 吴孟达, 梁超, 郝劭文, 张子栋, 李欣蕊, 张峻豪, 今井隆星, 宋小宝, 曾志伟, 叶全真",10055,中国大陆,3.51925,1
诡镇,"剧情, 悬疑, 惊悚",3.5,钱人豪 Jen-hao Chie,"钱人豪 Jen-hao Chie, 王骏 Jun Wang","何超仪, 夏凡, 谢承均, 周楚濋, 大庆, 林雪, 太保, 林子聪",9458,中国大陆,3.3103,1
泡芙小姐,"剧情, 爱情",3.5,张歆艺 Xinyi Zhang,程小猫,"张歆艺, 王栎鑫, 谭维维, 陈哲远, 于莎莎, 孙骁骁, 曾一竣, 张若星, 包贝尔, 蒋欣, 张静初, 张天爱, 袁弘, 秦岚, 郭京飞, 李菁菁, 赵麒, 江珊, 王烈, 高晓攀, 吕夏, 孙明明",6377,中国大陆,2.23195,1
上位,"剧情, 爱情",3.4,管晓杰 Einstein,管晓杰 Einstein,"文卓, 赵奕欢, 文梦洋, 游艺湉, 秦汉擂, 尹哲, 胡悦",13889,中国大陆,4.72226,1
毕业作品,"剧情, 爱情, 冒险",3.4,许斌 Bin Xu,"韩健 Jian Han, 杨朔 Shuo Yang, 王策 Taylor Wang, 刘强 Qiang Liu","张一山, 丁丁, 朱泳腾, 温海波, 白海涛, 张翰, 杨凯迪, 穆丽燕, 王艺伦",2201,中国大陆,0.74834,1
重庆美女,"剧情, 喜剧",3.4,杨紫婷,"王倦, 陈红杉","于娜, 戚薇, 袁成杰, 罗家英, 午马",2187,中国大陆,0.74358,1
青春期3,"剧情, 爱情",3.3,管晓杰 Einstein,管晓杰 Einstein,"赵奕欢, 王一, 杨非凡, 李璐茜, 邱箫婵, 谢瑾, 梁庭瑜, 游艺湉, 秦汉擂, 王梦婷",13793,中国大陆,4.55169,1
蒸发太平洋,"剧情, 科幻, 冒险",3.3,周文武贝 Vincent Zhou,"周文武贝 Vincent Zhou, 彼特·卡梅隆 Peter Cameron","布兰登·罗斯, 张雨绮, 王盛德, 维森特·M.沃德, 戴向宇, 廖碧儿, 吴天瑜, 王阳明, 蒋梦婕, 史蒂文·达兹",8138,"中国大陆, 美国",2.68554,1
半熟少女,"剧情, 爱情",3.3,"阿牛 Ah-Niu, 赵宇 Yu Zhao, 陈立谦 Teddy Chin",李舒程 Shucheng Li,"黄灿灿, 敖犬, 南笙, 王子豪, 王子杰, 黄诗棋, 江倩龄, 可晴, 弯弯",2621,中国大陆,0.86493,1
神奇,"剧情, 爱情, 运动",3.2,胡雪桦 Sherwood Hu,"曾谨昌 Kan-Cheung Tsang, 胡雪桦 Sherwood Hu, 李海蜀 Haishu Li, 秦溱 Zhen Qin, 黄斯丝 Sisi Huang","黄晓明, 郭采洁, 金雅中, 冯德伦, 埃里克·马比斯, 陈建州, 黄奕, 卡梅隆·安东尼, 德怀特·霍华德, 斯科蒂·皮蓬, 易建联, 王治郅",12045,中国大陆,3.8544,1
夺樽,"剧情, 动作",3.2,"张新亚 Xinya Zhang, 陈晓雷 Xiaolei Chen",邹丽莎 Lisha Zou,"王洪祥, 翁家明, 王姬, 平安, 淳于珊珊, 关慧卿, 范俊涵, 李鹏飞, 王彤, 李小舟, 马文强, 健子, 范军, 郭晨东",4349,中国大陆,1.39168,1
开罗宣言,"剧情, 历史",3.2,"刘星 Xing Liu, 温德光 Deguang Wen, 胡明钢 Minggang Hu",刘星 Xing Liu,"胡军, 刘嘉玲, 韩雪, 马晓伟, 唐国强, 陈冲, 姚笛, 何政军, 于紫菲, 章申, 温海波, 曾秋生, 徐丰年, 亚历山大·巴甫洛夫, 大村波彦, 黑木真二, 达伦·格罗夫纳, 水原碧衣",2782,中国大陆,0.89024,1
