title,types,score,drector,writer,actor,account,country,label,flim_version
达·芬奇密码,"悬疑, 惊悚",7.2,Ron Howard,"Akiva Goldsman, Dan Brown","汤姆·汉克斯, 奥黛丽·塔图, 伊恩·麦克莱恩, 让·雷诺, 保罗·贝坦尼, 阿尔弗雷德·莫里纳, 尤尔根·普洛斯诺, 让-伊夫·贝特鲁, 伊什尼·齐科特, 让-皮埃尔·马里埃尔, 玛丽-佛朗索瓦·奥多伦, 弗朗切斯科·卡尔内卢蒂, 塞斯·盖贝尔",157400,"美国, 马耳他, 法国, 英国",113.328,2
无间道风云,"犯罪, 剧情, 惊悚",7.2,马丁·斯科塞斯 Martin Scorsese,威廉·莫纳汉 William Monahan,"莱昂纳多·迪卡普里奥, 马特·达蒙, 杰克·尼科尔森, 马克·沃尔伯格, 马丁·辛, 雷·温斯顿, 维拉·法米加, 安东尼·安德森, 亚历克·鲍德温, 凯文·考利甘, 詹姆斯·戴尔, 大卫·奥哈拉, 马克·罗斯顿, 罗伯特·沃尔伯格, 克里斯汀·达尔顿",81470,"美国, 香港",58.6584,1
意外,惊悚,7.2,郑保瑞 Pou-Soi Cheang,"司徒锦源 Kam-Yuen Szeto, 邓力奇 Nicholl Tang","古天乐, 任贤齐, 叶璇, 冯淬帆, 林雪, 莫小棋, 韩雨芹, 刘宗基",55184,香港,39.73248,1
少年汉尼拔,"犯罪, 惊悚",7.2,彼得·韦柏  Peter Webber,托马斯·哈里斯 Thomas Harris,"加斯帕德·尤利尔, 巩俐, Helena-Lia Tachovská, 多米尼克·威斯特, 理查德·布雷克",51604,"英国, 捷克, 法国, 意大利",37.15488,3
通灵男孩诺曼,"喜剧, 动画, 悬疑, 惊悚, 奇幻, 冒险",7.2,"克里斯·巴特勒 Chris Butler, 山姆·菲尔 Sam Fell",克里斯·巴特勒 Chris Butler,"柯蒂·斯密特-麦菲, 安娜·肯德里克, 莱斯利·曼恩, 约翰·古德曼, 克里斯托夫·梅兹-普莱瑟, 卡西·阿弗莱克, 祖蒂·弗兰, 杰里米·沙达, 伯纳德·希尔, 杰夫·格尔林",42849,美国,30.85128,1
L之终章·最后的23天,"犯罪, 剧情, 恐怖, 惊悚",7.2,中田秀夫 Hideo Nakata,小林弘利 Hirotoshi Kobayashi,"松山研一, 福田麻由子, 工藤夕贵, 平泉成, 石桥莲司",36372,日本,26.18784,1
第九道门,"剧情, 奇幻, 恐怖, 悬疑, 惊悚",7.2,罗曼·波兰斯基 Roman Polanski,"阿图罗·佩雷斯–雷维特 Arturo Pérez-Reverte, 恩里克·乌比祖 Enrique Urbizu, 罗曼·波兰斯基 Roman Polanski","约翰尼·德普, 弗兰克·兰格拉, 莉娜·奥琳, 艾玛纽尔·塞尼耶, 芭芭拉·杰夫德, 杰克·泰勒, 何塞·洛佩斯·罗德罗, Tony Amoni, 詹姆斯·拉索, 威利霍尔特, 艾伦·加菲尔德, 雅克·达克米纳, Joe Sheridan, 丽贝卡·保利, Catherine Benguigui",30913,"法国, 西班牙, 美国",22.25736,1
战栗空间,惊悚,7.2,David Fincher,David Koepp,"朱迪·福斯特, 克里斯汀·斯图尔特, 福里斯特·惠特克, 德怀特·尤科姆, 杰瑞德·莱托, 帕特里克·波查",30808,美国,22.18176,2
漂流欲室,"剧情, 惊悚, 情色",7.2,金基德 Ki-duk Kim,金基德 Ki-duk Kim,"徐情, 赵宰贤, 张恒善, 金汝珍, 孙婉, 金佑锡",29897,韩国,21.52584,1
死亡实验,"剧情, 惊悚",7.2,Paul Scheuring,"Paul Scheuring, Mario Giordano","艾德里安·布洛迪, 福里斯特·惠特克, 凯姆·吉甘戴, 费舍·史蒂芬斯, 玛姬·格蕾斯, 小克利夫顿·克林斯, Ethan Cohn, 崔维斯·费米尔, 大卫·班纳, 廖炳勝",29456,美国,21.20832,1
怪兽屋,"动画, 悬疑, 奇幻, 惊悚, 恐怖",7.2,吉尔·克兰 Gil Kenan,"丹·哈萌 Dan Harmon, 罗布·施拉布 Rob Schrab, 帕米拉·帕特勒 Pamela Pettler","米切尔·莫索, 山姆·勒纳, 史宾塞·洛克, 史蒂夫·布西密, 凯瑟琳·欧哈拉, 佛莱德·威拉特, 瑞恩·纽曼, 玛吉·吉伦哈尔, 杰森·李, 凯文·詹姆斯, 尼克·卡农, 乔恩·海德, 凯瑟琳·特纳, 伍迪·舒尔茨, 伊恩·麦康纳, 埃里克·沃克, 马修·法黑",28627,美国,20.61144,1
跟踪,"犯罪, 惊悚",7.2,游乃海 Nai-Hoi Yau,"游乃海 Nai-Hoi Yau, 欧健儿 Kin-Yee Au","任达华, 梁家辉, 徐子珊, 张兆辉, 吴廷烨, 林雪, 黎耀祥, 彭敬慈, 邵美琪, 罗仲谦",25158,香港,18.11376,1
来自地狱,"犯罪, 恐怖, 悬疑, 惊悚",7.2,"Albert Hughes, Allen Hughes","Terry Hayes, Rafael Yglesias, Alan Moore, Eddie Campbell","约翰尼·德普, 海瑟·格拉汉姆, 伊安·霍姆, 罗彼·考特拉尼, 伊恩·理查森, 杰森·弗莱明, 凯特琳·卡特利吉, 苏珊·林奇, 安娜贝勒艾裴逊, 乔安娜·佩吉",24977,美国,17.98344,1
玩命记忆,"犯罪, 剧情, 悬疑, 惊悚",7.2,西蒙·布兰德 Simon Brand,Matthew Waynee,"格雷戈·金尼尔, 布丽姬·穆娜, 吉姆·卡维泽, 乔·潘托里亚诺, 巴里·佩珀",23935,美国,17.2332,1
时空罪恶,"剧情, 悬疑, 科幻, 惊悚",7.2,那奇欧·维加隆多 Nacho Vigalondo,那奇欧·维加隆多 Nacho Vigalondo,"卡拉·埃莱哈尔德, Candela Fernández, 巴巴拉·戈纳加, 那奇欧·维加隆多, Juan Inciarte",23477,西班牙,16.90344,2
八仙饭店之人肉叉烧包,"犯罪, 惊悚",7.2,邱礼涛,"罗锦辉, 刘永健","黄秋生, 李修贤, 关宝慧, 刘兆铭, 成奎安, 李华月",20001,香港,14.40072,1
夺命手术,"犯罪, 悬疑, 惊悚",7.2,Joby Harold,Joby Harold,"海登·克里斯滕森, 杰西卡·阿尔芭, 泰伦斯·霍华德, 莉娜·奥琳",18826,美国,13.55472,1
高度怀疑,"犯罪, 剧情, 悬疑, 惊悚",7.2,Peter Hyams,Peter Hyams,"杰西·麦特卡尔菲, 迈克尔·道格拉斯, 爱波·塔布琳, 乔·大卫·摩尔 , 奥兰多·琼斯",13650,美国,9.828,1
双重人格,"剧情, 惊悚",7.2,理查德·艾欧阿德 Richard Ayoade,"理查德·艾欧阿德 Richard Ayoade, 陀思妥耶夫斯基 Fyodor Dostoyevsky, Avi Korine","杰西·艾森伯格, 米娅·华希科沃斯卡, 莎莉·霍金斯, 克里斯·奥多德, 克雷格·罗伯兹, 诺亚·泰勒, 嘉玛·陈, 华莱士·肖恩, 帕迪·康斯戴恩, 凯西·莫拉蒂, 詹姆斯·福克斯, 拉德·舍博德兹加, 亚丝明·佩奇, 娜塔莉·考克斯, 克里斯多夫·莫利斯",11807,英国,8.50104,1
委托人,"剧情, 犯罪, 惊悚",7.2,孙英胜 Young-Sung Sohn,"孙英胜 Young-Sung Sohn, 李春邢","河正宇, 张赫, 朴熙顺, 金成铃, 成东日",10967,韩国,7.89624,1
将军的女儿,"犯罪, 剧情, 悬疑, 惊悚, 战争",7.2,西蒙·韦斯特 Simon West,"Christopher Bertolini, 威廉姆·高德曼 William Goldman, Nelson DeMille","约翰·特拉沃尔塔, 玛德琳·斯托, 詹姆斯·克伦威尔, 詹姆斯·伍兹, 莱斯利·斯蒂芬森 Leslie Stefanson",8278,"美国, 德国",5.96016,1
盲流感,"剧情, 悬疑, 惊悚, 灾难",7.2,费尔南多·梅里尔斯 Fernando Meirelles,"何塞·萨拉玛戈 José Saramago, 唐·麦凯勒 Don McKellar","马克·鲁弗洛, 朱丽安·摩尔, 艾莉丝·布拉加, 盖尔·加西亚·贝纳尔, 伊势谷友介, 木村佳乃, Eduardo Semerjian, 唐·麦凯勒, 道格拉斯·席尔瓦, 丹尼尔·泽托, 乔·平格, 苏珊·柯尼, Fabiana Guglielmetti, 丹尼·格洛弗",8227,"加拿大, 巴西, 日本",5.92344,1
血色孤语,"喜剧, 犯罪, 惊悚",7.2,玛嘉·莎塔琵 Marjane Satrapi,Michael R. Perry,"瑞恩·雷诺兹, 杰玛·阿特登, 安娜·肯德里克, 杰基·韦佛, 格列佛·麦格拉思, 斯蒂芬妮·沃格特, Adi Shankar, Ricardia Bramley, Paul Brightwell, Aaron Kissiov, Valerie Koch, Alessa Kordeck, Michael Pink, Helena Prince, 艾拉·史密斯",7894,"美国, 德国",5.68368,1
罪孽,"剧情, 惊悚",7.2,约翰·麦登 John Madden,"简·古德曼 Jane Goldman, 马修·沃恩 Matthew Vaughn","海伦·米伦, 萨姆·沃辛顿, 杰西卡·查斯坦, 加斯帕·克里斯滕森, 马尔顿·索克斯, 塞伦·希德, 汤姆·威尔金森, 罗米·阿波拉菲娅, Jonathan Uziel, Irén Bordán, 布里吉特·克雷",7334,美国,5.28048,1
黑暗扫描仪,"动画, 犯罪, 剧情, 悬疑, 科幻, 惊悚",7.2,Richard Linklater,Richard Linklater,"基努·里维斯, 小罗伯特·唐尼, Casey Chapman, 伍迪·哈里森, Mitch Baker, 薇诺娜·瑞德",6807,美国,4.90104,1
潮涨海岸,"剧情, 奇幻, 惊悚",7.2,特瑞·吉列姆 Terry Gilliam,"托尼·格里森尼 Tony Grisoni, 特瑞·吉列姆 Terry Gilliam, Mitch Cullin","祖蒂·弗兰, 珍妮·麦克蒂尔, 布莱登·佛雷切, 詹妮弗·提莉, 杰夫·布里吉斯, 迪伦·泰勒",5400,"加拿大, 英国",3.888,1
彷徨之刃,"剧情, 悬疑, 惊悚",7.2,李正浩 Jeong-ho Lee,"李正浩 Jeong-ho Lee, 东野圭吾 Keigo Higashino","郑在咏, 李星民, 徐俊英, 崔相旭, 李秀彬",5088,韩国,3.66336,1
肖申克的救赎,"犯罪, 剧情",9.6,弗兰克·德拉邦特 Frank Darabont,"弗兰克·德拉邦特 Frank Darabont, 斯蒂芬·金 Stephen King","蒂姆·罗宾斯, 摩根·弗里曼, 鲍勃·冈顿, 威廉姆·赛德勒, 克兰西·布朗, 吉尔·贝罗斯, 马克·罗斯顿, 詹姆斯·惠特摩, 杰弗里·德曼, 拉里·布兰登伯格, 尼尔·吉恩托利, 布赖恩·利比, 大卫·普罗瓦尔, 约瑟夫·劳格诺, 祖德·塞克利拉, 保罗·麦克兰尼, 芮妮·布莱恩, 阿方索·弗里曼, V·J·福斯特, 弗兰克·梅德拉诺, 马克·迈尔斯, 尼尔·萨默斯, 耐德·巴拉米, 布赖恩·戴拉特, 唐·麦克马纳斯",1186119,美国,1138.67424,1
霸王别姬,"剧情, 爱情, 同性",9.6,陈凯歌 Kaige Chen,"芦苇 Wei Lu, 李碧华 Lillian Lee","张国荣, 张丰毅, 巩俐, 葛优, 英达, 蒋雯丽, 吴大维, 吕齐, 雷汉, 尹治, 马明威, 费振翔, 智一桐, 李春, 赵海龙, 李丹, 童弟, 沈慧芬, 黄斐",870476,"中国大陆, 香港",835.65696,1
控方证人,"剧情, 犯罪, 悬疑",9.6,比利·怀尔德 Billy Wilder,"阿加莎·克里斯蒂 Agatha Christie, 比利·怀尔德 Billy Wilder, 哈里·库尼兹 Harry Kurnitz","泰隆·鲍华, 玛琳·黛德丽, 查尔斯·劳顿, 爱尔莎·兰切斯特, 约翰·威廉姆斯, 亨利·丹尼尔, 伊安·沃尔夫, 托林·撒切尔, 诺玛·威登",141582,美国,135.91872,1
美丽人生,"剧情, 喜剧, 爱情, 战争",9.5,罗伯托·贝尼尼 Roberto Benigni,"文森佐·克拉米 Vincenzo Cerami, 罗伯托·贝尼尼 Roberto Benigni","罗伯托·贝尼尼, 尼可莱塔·布拉斯基, 乔治·坎塔里尼, 朱斯蒂诺·杜拉诺, 赛尔乔·比尼·布斯特里克, 玛丽萨·帕雷德斯, 霍斯特·布赫霍尔茨, 利迪娅·阿方西, 朱利亚娜·洛约迪切, 亚美利哥·丰塔尼, 彼得·德·席尔瓦, 弗朗西斯·古佐, 拉法埃拉·莱博罗尼, 克劳迪奥·阿方西, 吉尔·巴罗尼, 马西莫·比安奇, 恩尼奥·孔萨尔维, 吉安卡尔洛·科森蒂诺, 阿伦·克雷格",546325,意大利,519.00875,2
辛德勒的名单,"剧情, 历史, 战争",9.5,史蒂文·斯皮尔伯格 Steven Spielberg,"托马斯·肯尼利 Thomas Keneally, 斯蒂文·泽里安 Steven Zaillian","连姆·尼森, 本·金斯利, 拉尔夫·费因斯, 卡罗琳·古多尔, 乔纳森·萨加尔, 艾伯丝·戴维兹, 马尔戈萨·格贝尔, 马克·伊瓦涅, 碧翠斯·马科拉, 安德烈·瑟韦林, 弗里德里希·冯·图恩, 克齐斯茨托夫·拉夫特, 诺伯特·魏塞尔",491628,美国,467.0466,1
阿甘正传,"剧情, 爱情",9.4,Robert Zemeckis,"Eric Roth, Winston Groom","汤姆·汉克斯, 罗宾·怀特, 加里·西尼斯, 麦凯尔泰·威廉逊, 莎莉·菲尔德, Michael Conner Humphreys, 海利·乔·奥斯蒙",935054,美国,878.95076,1
十二怒汉,剧情,9.4,Sidney Lumet,Reginald Rose,"亨利·方达, 马丁·鲍尔萨姆, 约翰·菲德勒, 李·科布, E.G.马绍尔, 杰克·克卢格曼 , 爱德华·宾斯, 杰克·瓦尔登, 约瑟夫·史威尼, 埃德·贝格利, 乔治·沃斯科维奇, 罗伯特·韦伯",211642,美国,198.94348,1
泰坦尼克号 3D版,"剧情, 爱情, 灾难",9.4,詹姆斯·卡梅隆 James Cameron,詹姆斯·卡梅隆 James Cameron,"莱昂纳多·迪卡普里奥, 凯特·温丝莱特, 比利·赞恩, 凯西·贝茨, 弗兰西丝·费舍, 格劳瑞亚·斯图尔特, 比尔·帕克斯顿, 伯纳德·希尔, 大卫·沃纳, 维克多·加博, 乔纳森·海德, 苏茜·爱米斯, 刘易斯·阿伯内西, 尼古拉斯·卡斯柯恩, 阿那托利·萨加洛维奇, 丹尼·努齐, 杰森·贝瑞, 伊万·斯图尔特",170446,美国,160.21924,1
灿烂人生,"剧情, 爱情, 家庭",9.4,马可·图利欧·吉欧达纳 Marco Tullio Giordana,"萨多·皮查歌利尔 Sandro Petraglia, Stefano Rulli","路易吉·洛·卡肖, 阿莱西奥·博尼, 索尼娅·贝加马斯科, 玛雅·珊萨, 法布里齐奥·吉福尼, 杰丝敏·特丽卡, 里卡多·斯卡马乔, 安德烈提多娜, 瓦伦蒂娜·卡妮卢提, 卡米拉·菲利皮, 莉迪亚·维塔莱, Claudio Gioè, 斯特凡诺·阿伯蒂",27549,意大利,25.89606,1
背靠背，脸对脸,剧情,9.4,"黄建新 Jianxin Huang, 杨亚洲 Yazhou Yang","黄欣 Xin Huang, 孙毅安 Yi-an Sun, 刘醒龙 Xinglong Liu","牛振华, 雷恪生, 李强, 句号, 王劲松, 戈治均, 佘南南, 张嘉译, 刘国祥, 徐学政, 林海海, 温谦, 马载军, 吴玮玲, 张艺, 韩炳杰, 杨亚洲, 王馥荔",26338,"中国大陆, 香港",24.75772,1
茶馆,"剧情, 历史",9.4,谢添 Tian Xie,"老舍 Lao-She, 谢添 Tian Xie","于是之, 郑榕, 蓝天野, 英若诚, 黄宗洛, 童超, 金昭, 林连昆, 牛星丽, 谭宗尧, 童弟, 吴淑昆",22235,中国大陆,20.9009,1
十二怒汉,"剧情, 犯罪, 悬疑",9.4,弗兰克林·斯凡那 Franklin J. Schaffner,雷金纳德·罗斯 Reginald Rose,"罗伯特·卡明斯, 法兰奇·汤恩, 爱德华·阿诺德, 保罗·哈特曼, 约翰·贝尔, 沃尔特·艾贝尔, 乔治·沃斯科维奇, 约瑟夫·史威尼, 巴特·伯恩斯, 诺曼·费尔, 李·飞利浦, Larkin Ford",6081,美国,5.71614,1
控方证人,"剧情, 犯罪, 悬疑",9.4,Alan Gibson,"阿加莎·克里斯蒂 Agatha Christie, Lawrence B. Marcus","拉尔夫·理查德森, 黛博拉·蔻儿, 博·布里奇斯, 黛安娜·里格, 温蒂·希勒, 唐纳德·普利森斯, 彼得·萨利斯, 弗兰克·米尔斯",3629,"美国, 英国",3.41126,1
盗梦空间,"剧情, 科幻, 悬疑, 冒险",9.3,克里斯托弗·诺兰 Christopher Nolan,克里斯托弗·诺兰 Christopher Nolan,"莱昂纳多·迪卡普里奥, 约瑟夫·高登-莱维特, 艾伦·佩吉, 汤姆·哈迪, 渡边谦, 迪利普·劳, 基里安·墨菲, 汤姆·贝伦杰, 玛丽昂·歌迪亚, 皮特·波斯尔思韦特, 迈克尔·凯恩, 卢卡斯·哈斯, 李太力, 克莱尔·吉尔蕾, 马格努斯·诺兰, 泰勒·吉蕾, 乔纳森·吉尔, 水源士郎, 冈本玉二, 厄尔·卡梅伦, 瑞恩·海沃德, 米兰达·诺兰, 拉什·费加, 蒂姆·科勒赫, 妲露拉·莱莉",947276,"美国, 英国",880.96668,1
泰坦尼克号,"剧情, 爱情, 灾难",9.3,詹姆斯·卡梅隆 James Cameron,詹姆斯·卡梅隆 James Cameron,"莱昂纳多·迪卡普里奥, 凯特·温丝莱特, 比利·赞恩, 凯西·贝茨, 弗兰西丝·费舍, 格劳瑞亚·斯图尔特, 比尔·帕克斯顿, 伯纳德·希尔, 大卫·沃纳, 维克多·加博, 乔纳森·海德, 苏茜·爱米斯, 刘易斯·阿伯内西, 尼古拉斯·卡斯柯恩, 阿那托利·萨加洛维奇, 丹尼·努齐, 杰森·贝瑞, 伊万·斯图尔特, 艾恩·格拉法德, 乔纳森·菲利普斯, 马克·林赛·查普曼, 理查德·格拉翰, 保罗·布赖特威尔, 艾瑞克·布里登, 夏洛特·查顿, 博纳德·福克斯, 迈克尔·英塞恩, 法妮·布雷特, 马丁·贾维斯, 罗莎琳·艾尔斯, 罗切尔·罗斯, 乔纳森·伊万斯-琼斯, 西蒙·克雷恩, 爱德华德·弗莱彻, 斯科特·安德森, 马丁·伊斯特, 克雷格·凯利, 格雷戈里·库克, 利亚姆·图伊, 詹姆斯·兰开斯特, 艾尔莎·瑞雯, 卢·帕尔特, 泰瑞·佛瑞斯塔, 凯文·德·拉·诺伊",871310,美国,810.3183,1
千与千寻,"剧情, 动画, 奇幻",9.3,宫崎骏 Hayao Miyazaki,宫崎骏 Hayao Miyazaki,"柊瑠美, 入野自由, 夏木真理, 菅原文太, 中村彰男, 玉井夕海, 神木隆之介, 内藤刚志, 泽口靖子, 我修院达也, 大泉洋, 小林郁夫, 上条恒彦, 小野武彦",865143,日本,804.58299,1
忠犬八公的故事,剧情,9.3,莱塞·霍尔斯道姆 Lasse Hallstr?m,"Stephen P. Lindsey, 新藤兼人 Kaneto Shind?","理查·基尔, 萨拉·罗默尔, 琼·艾伦, 罗比·萨布莱特, 艾瑞克·阿瓦利, 田川洋行, 杰森·亚历山大, 罗伯特·卡普荣",615312,"美国, 英国",572.24016,1
巴黎圣母院,"剧情, 爱情, 音乐",9.3,Gilles Maheu,"Luc Plamondon, 维克多·雨果 Victor Hugo","海伦娜·赛加拉, 加劳, 丹尼尔·拉沃伊, 布鲁诺·佩尔蒂埃, 帕特里克·费欧里, 拉克·默维尔, 朱丽叶·泽纳缇",3714,法国,3.45402,1
三傻大闹宝莱坞,"剧情, 喜剧, 爱情, 歌舞",9.2,拉库马·希拉尼 Rajkumar Hirani,"Vidhu Vinod Chopra, 拉库马·希拉尼 Rajkumar Hirani, 阿西奇·乔希 Abhijit Joshi","阿米尔·汗, 卡琳娜·卡普尔, 马达范, 沙尔曼·乔希, 奥米·瓦依达, 博曼·伊拉尼, 莫娜·辛格, 拉杰夫·拉宾德拉纳特安",853918,印度,785.60456,1
海上钢琴师,"剧情, 音乐",9.2,朱塞佩·托纳多雷 Giuseppe Tornatore,"亚利桑德罗·巴里克 Alessandro Baricco, 朱塞佩·托纳多雷 Giuseppe Tornatore","蒂姆·罗斯, 普路特·泰勒·文斯, 比尔·努恩, 梅兰尼·蒂埃里, 阿尔贝托·巴斯克斯",713971,意大利,656.85332,3
星际穿越,"剧情, 科幻, 冒险",9.2,克里斯托弗·诺兰 Christopher Nolan,"乔纳森·诺兰 Jonathan Nolan, 克里斯托弗·诺兰 Christopher Nolan","马修·麦康纳, 安妮·海瑟薇, 杰西卡·查斯坦, 卡西·阿弗莱克, 迈克尔·凯恩, 马特·达蒙, 麦肯吉·弗依, 蒂莫西·柴勒梅德, 艾伦·伯斯汀, 约翰·利思戈, 韦斯·本特利, 大卫·吉雅西, 比尔·欧文, 托弗·戈瑞斯, 科莱特·沃夫, 弗朗西斯·X·麦卡蒂, 安德鲁·博尔巴, 乔什·斯图沃特, 莱雅·卡里恩斯, 利亚姆·迪金森, 杰夫·赫普内尔, 伊莱耶斯·加贝尔, 布鲁克·史密斯, 大卫·奥伊罗, 威廉姆·德瓦内, 拉什·费加, 格里芬·弗雷泽, 弗洛拉·诺兰",642507,"美国, 英国, 加拿大, 冰岛",591.10644,1
楚门的世界,"剧情, 科幻",9.2,彼得·威尔 Peter Weir,安德鲁·尼科尔 Andrew Niccol,"金·凯瑞, 劳拉·琳妮, 艾德·哈里斯, 诺亚·艾默里奇, 娜塔莎·麦克艾霍恩",625868,美国,575.79856,1
放牛班的春天,"剧情, 音乐",9.2,克里斯托夫·巴拉蒂 Christophe Barratier,"Georges Chaperot, René Wheeler","热拉尔·朱尼奥, 让-巴蒂斯特·莫尼耶, 弗朗索瓦·贝莱昂, 凯德·麦拉德, 玛丽·布奈尔, 马科森斯·珀林, 让-保罗·博奈雷, 格雷戈里·加迪诺尔, 托马斯·布伦门塔尔, Cyril Bernicot, Simon Fargeot, Théodule Carré-Cassaigne, 菲利普·杜·詹纳兰德, 卡罗尔·韦斯, Erick Desmarestz, 雅克·贝汉",586197,"法国, 瑞士, 德国",539.30124,1
触不可及,"剧情, 喜剧",9.2,"奥利维·那卡什 Olivier Nakache, 艾力克·托兰达 Eric Toledano","奥利维·那卡什 Olivier Nakache, 艾力克·托兰达 Eric Toledano","弗朗索瓦·克鲁塞, 奥玛·希, 安娜·勒尼, 奥德雷·弗勒罗, 托马·索利韦尔",460647,法国,423.79524,1
教父,"剧情, 犯罪",9.2,弗朗西斯·福特·科波拉 Francis Ford Coppola,"马里奥·普佐 Mario Puzo, 弗朗西斯·福特·科波拉 Francis Ford Coppola","马龙·白兰度, 阿尔·帕西诺, 詹姆斯·肯恩, 理查德·卡斯特尔诺, 罗伯特·杜瓦尔, 斯特林·海登, 约翰·马利, 理查德·康特, 艾尔·勒提埃里, 黛安·基顿, 阿贝·维高达, 塔莉娅·夏尔, 吉亚尼·罗素, 约翰·凯泽尔, 鲁迪·邦德",432940,美国,398.3048,1
熔炉,剧情,9.2,黄东赫 Dong-hyuk Hwang,"孔枝泳 Ji-young Gong, 黄东赫 Dong-hyuk Hwang","孔侑, 郑有美, 金志映, 金贤秀, 郑仁絮, 白承焕, 张光, 严孝燮",361898,韩国,332.94616,1
乱世佳人,"剧情, 历史, 爱情, 战争",9.2,"维克多·弗莱明 Victor Fleming, 乔治·库克 George Cukor, 山姆·伍德 Sam Wood","玛格丽特·米歇尔 Margaret Mitchell, 西德尼·霍华德 Sidney Howard, 奥利弗·H·P·加勒特 Oliver H.P. Garrett, 本·赫克特 Ben Hecht, 乔·斯沃林 Jo Swerling, 约翰·范·德鲁登 John Van Druten","费雯·丽, 克拉克·盖博, 奥利维娅·德哈维兰, 托马斯·米切尔, 芭芭拉·欧内尔, 伊夫林·凯耶斯, 安·卢瑟福德, 乔治·里弗斯, 弗莱德·克莱恩, 海蒂·麦克丹尼尔斯, 奥斯卡·波尔克, 巴特弗莱·麦昆, 维克托·乔里, 埃弗雷特·布朗, 霍华德·C·希克曼, 艾丽西亚·瑞特, 莱斯利·霍华德, 兰德·布鲁克斯, 卡洛尔·奈, 劳拉·霍普·克鲁斯, 埃迪·安德森, 哈里·达文波特, 利昂娜·罗伯特, 简·达威尔, 欧娜·满森, 保罗·赫斯特, 伊莎贝尔·朱尔, 卡米·金·肯伦, 艾瑞克·林登, J·M·克里根, 沃德·邦德, 莉莲·肯布尔-库珀",329772,美国,303.39024,2
鬼子来了,"剧情, 历史, 战争",9.2,姜文 Wen Jiang,"姜文 Wen Jiang, 史建全 Jianquan Shi, 述平 Ping Shu, 尤凤伟 Fengwei You","姜文, 香川照之, 袁丁, 姜宏波, 丛志军, 喜子, 泽田谦也, 李海滨, 蔡卫东, 陈述, 陈莲梅, 史健全, 陈强, 宫路佳具, 吴大维, 梶冈润一, 石山雄大, 述平, 姜武",293475,中国大陆,269.997,1
辩护人,剧情,9.2,杨宇硕 Woo-seok Yang,"杨宇硕 Woo-seok Yang, Yoon Hyeon-ho","宋康昊, 吴达洙, 金英爱, 郭度沅, 任时完",277047,韩国,254.88324,1
小鞋子,"剧情, 家庭, 儿童",9.2,马基德·马基迪 Majid Majidi,马基德·马基迪 Majid Majidi,"Amir Farrokh Hashemian, 默罕默德·阿米尔·纳吉, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi",175046,伊朗,161.04232,1
摩登时代,"喜剧, 剧情, 爱情",9.2,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin,"查理·卓别林, 宝莲·高黛, 亨利·伯格曼, Tiny Sandford, 切斯特·康克林",112780,美国,103.7576,1
东京物语,"剧情, 家庭",9.2,小津安二郎 Yasujir? Ozu,"野田高梧 K?go Noda, 小津安二郎 Yasujir? Ozu","笠智众, 原节子, 杉村春子, 东山千荣子, 山村聪, 香川京子",60100,日本,55.292,1
城市之光,"喜剧, 剧情, 爱情",9.2,Charles Chaplin,"查理·卓别林 Charles Chaplin, Harry Clive, Harry Crocker","查理·卓别林, 弗吉尼亚·切瑞尔, 佛罗伦斯·李, 亨利·伯格曼, 珍·哈露",52706,美国,48.48952,1
生活多美好,"剧情, 爱情, 奇幻",9.2,Frank Capra,"Frances Goodrich, Albert Hackett, Frank Capra","詹姆斯·斯图尔特, 唐娜·里德, 莱昂纳尔·巴里摩尔, 托马斯·米切尔, 亨利·崔佛斯",38546,美国,35.46232,2
超感猎杀：完结特别篇,"剧情, 科幻, 同性",9.2,拉娜·沃卓斯基 Lana Wachowski,"莉莉·沃卓斯基 Lilly Wachowski, 拉娜·沃卓斯基 Lana Wachowski, J·迈克尔·斯特拉辛斯基 J. Michael Straczynski, Alexander Hemon, David Mitchell","裴斗娜, 杰米·克莱顿, 蒂娜·德赛, 塔彭丝·米德尔顿, 马克思·雷迈特, 米格尔·安赫尔·西尔维斯特, 布莱恩·J·史密斯, 托比·奥伍梅尔, 弗莉玛·阿吉曼, 普拉布 科里, 阿方索·埃雷拉, 泰伦斯·曼, 达丽尔·汉纳, 纳威恩·安德利维斯, Ness Bautista , 斯蒂芬·鲍克思, 阿米拉·加扎拉, 约书亚·格罗斯, 埃伦迪拉·伊瓦拉, 雅丽·乔维尔, 西尔维斯特·迈可伊, Annie Munch, Avant Strangel, 马克斯·毛夫",23126,美国,21.27592,1
切腹,剧情,9.2,小林正树 Masaki Kobayashi,桥本忍 Shinobu Hashimoto,"仲代达矢, 石浜朗, 岩下志麻, 丹波哲郎, 三岛雅夫, 中谷一郎, 佐藤庆, 稻叶义男, 井川比佐志, 武内亨, 青木义朗, 松村达雄, 小林昭二, 三国连太郎",12735,日本,11.7162,1
哀乐中年,"剧情, 爱情, 家庭",9.2,桑弧 Hu Sang,桑弧 Hu Sang,"石挥, 朱嘉琛, 沈扬, 李浣青, 韩非, 崔超明, 程之, 路珊, 莫愁, 胡小琴, 顾慕如, 俞仲英, 伊斯兰, 叶明, 林榛, 田振东, 周瑞德",5829,中国大陆,5.36268,1
